tiempo,H1,H2,H3,H4,V1,V2,Gamma_1,Gamma_2,modo,ref_H1,ref_H2,Ki,Kd,Kp,Kw,Filtro
9.832,41.66484920757339,42.84555184482316,23.947834157691997,29.56378308689168,0.0,0.0,0.6,0.7,Manual,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.281,41.624921039321826,42.825633281654376,23.82322406265654,29.46647858532331,0.0,0.0,0.6,0.7,Manual,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.769,41.55824470160094,42.792348255113374,23.617539059729882,29.30565945360229,0.0,0.0,0.6,0.7,Manual,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.245,41.47431227406835,42.750408998134944,23.362764303259574,29.106099152515327,0.0,0.0,0.6,0.7,Manual,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.859,41.3761939747065,42.701326156296425,23.070554706424033,28.876719372035968,0.0,0.0,0.6,0.7,Automático,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.542,41.26499752012745,42.64563092673082,22.74640254744539,28.621631565103918,0.0,0.0,0.6,0.7,Automático,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.395,41.13906718282597,42.58246832270093,22.38784846800747,28.33867852332241,0.0,0.0,0.6,0.7,Automático,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.868,40.97483581973143,42.499959684168374,21.933121538825112,27.978601890796725,0.0,0.0,0.6,0.7,Automático,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.151,40.878381018640624,42.45143195708223,21.672495526594087,27.771589913063117,0.0,0.0,0.6,0.7,Automático,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.619,40.79459530219747,42.40923744948644,21.449795034034455,27.594327373071653,0.0,0.0,0.6,0.7,Automático,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.191,40.64621610066564,42.33442262170213,21.06348024629359,27.28599812854086,0.0,0.0,0.6,0.7,Automático,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.663,40.54454595705543,42.283093372053614,20.804489249170068,27.078684432568945,0.0,0.0,0.6,0.7,Automático,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.213,40.47346862009421,42.24717807202326,20.6260823418665,26.935587392454867,0.0,0.0,0.6,0.7,Automático,0.0,0.0,0.0,0.0,0.0,0.95,0.0
16.653,40.3944238307227,42.207207122369766,20.430164384704373,26.778169998632688,0.0,0.0,0.6,0.7,Automático,0.0,0.0,0.0,0.0,0.0,0.95,0.0
17.215,40.26677024532741,42.142590940220884,20.119122482258916,26.52765071476163,0.0,0.0,0.6,0.7,Automático,0.0,0.0,0.0,0.0,0.0,0.95,0.0
17.703,40.14780182795915,42.08230003340308,19.834983003754317,26.29814148085807,0.0,0.0,0.6,0.7,Automático,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18.282,40.07842249525431,42.04710879206401,19.671748248029964,26.16600171912345,0.0,0.0,0.6,0.7,Automático,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18.699,39.924642532899206,41.969026707510075,19.316184278508036,25.877423873625418,0.0,0.0,0.6,0.7,Automático,0.0,0.0,0.0,0.0,0.0,1.0,0.0
19.17,39.80842857899646,41.909946539474106,19.052991326162704,25.663142810517304,0.0,0.0,0.6,0.7,Automático,0.0,0.0,0.0,0.0,0.0,1.0,0.55
19.628,39.74205830250116,41.87617808177405,18.904736823196792,25.54218318307885,0.0,0.0,0.6,0.7,Automático,0.0,0.0,0.0,0.0,0.0,1.0,0.6
20.219,39.606330657003895,41.80705995395876,18.606064247482443,25.297926101261854,0.0,0.0,0.6,0.7,Automático,0.0,0.0,0.0,0.0,0.0,1.0,0.5
20.627,39.55283553284226,41.77979560999697,18.489969455289643,25.202773077415465,0.0,0.0,0.6,0.7,Automático,0.0,0.0,0.0,0.0,0.0,1.0,0.5
